establishment,latitude,longitude,address
PLTU Pluit,-6.111552907,106.7882001,"Jl. Pluit Utara Raya No.14, RT.14/RW.4, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia"
PLTGU Tanjung Priok,-6.109970142,106.8672763,"Jl. RE. Martadinata, Ancol, Pademangan, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14310, Indonesia"
PLTGU Jawa 2,-6.10805357,106.8706416,"Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430, Indonesia"
PLTD Senayan,-6.214196184,106.7963513,"Jl. Tentara Pelajar No.33, RT.7/RW.7, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210, Indonesia"
PLTU Suralaya,-5.876859879,106.0290803,"Jl. Raya Merak, Suralaya, Kec. Pulomerak, Kota Cilegon, Banten 42439, Indonesia"
PLTU Lontar,-6.056002457,106.4615734,"Jl. Insinyur Sutami, Lontar, Kec. Kemiri, Kabupaten Tangerang, Banten 15530, Indonesia"
PT Indonesia Power BSLA PGU 1 Unit 8,-5.88793599,106.0388168,"Suralaya, Pulomerak, Cilegon, Banten 42439, Indonesia"
PLTU Babelan Bekasi,-6.117600249,107.0553492,"Muarabakti, Babelan, Bekasi Regency, West Java 17610, Indonesia"
PT Cikarang Listrindo MM2100 Plant,-6.307980212,107.1239916,"Danau Indah, Cikarang Barat, Bekasi Regency, West Java 17530, Indonesia"
Kawasan Industry Pulogadung,-6.188840385,106.9112688,"Rawa Terate, Cakung, East Jakarta City, Jakarta, Indonesia"
Cikarang Industrial Estate,-6.283171055,107.1263155,"Harja Mekar, Cikarang Utara, Bekasi Regency, West Java, Indonesia"
