ispa_patient,pm10,so2,co,o3,no2
3086,27.77371845,28.7483871,13.85806452,38.05806452,6.167741935
4111,38.07558343,19.81428571,25.21428571,48.82857143,7.621428571
5052,48.4,20.97419355,20.58064516,74.46451613,8.690322581
2060,50.34666667,20.76,19.56,62.55333333,8.953333333
1711,62.96516335,19.42580645,17.31612903,77.39354839,8.883870968
1808,56.22462373,17.49333333,15.16,80.12,7.673333333
1976,41.21935484,15.3483871,17.42580645,57.6516129,10.05806452
4424,50.12142857,17.6,22.22857143,59.93571429,11.12857143
3886,45.55483871,15.50967742,19.10322581,65.91612903,11.33548387
2244,53.06,13.64,22.01333333,79.94,11.07333333
1649,59.01290323,14.40645161,19.16129032,70.14193548,10.63225806
2008,61.8,15.44,16.77333333,82.29333333,10.70666667
5096,46.38810787,18.86140431,22.94808458,50.34340619,8.123878716
5468,44.65833524,14.95115531,24.651328,54.23485586,8.379246591
4918,49.27828465,13.97480041,20.75960155,73.28910703,8.263386578
1323,51.28632133,13.84405787,13.64132273,67.26,7.237301906
552,55.0394497,15.79173812,12.98700459,61.40723633,7.955553957
556,60.30205573,16.19637018,13.55055653,64.10021227,8.735010258
